Name,IATA,url
UPS Airlines,5X,https://www.ups.com/upsaviation/
US Airways,US,https://www.usairways.com
UTair,UT,https://www.utair.ru/
Uzbekistan Airways,HY,https://www.uzairways.com
Vietnam Airlines,VN,vietnamairlines.com
Virgin Atlantic,VS,https://www.virginatlantic.com
Virgin Australia,VA,https://www.virginaustralia.com
VLM Airlines,VG,https://www.vlm.airlines/
Volaris,Y4*,https://www.volaris.com/
Volga-Dnepr Airlines,VI*,https://www.volga-dnepr.com/
VRG Linhas Aéreas S.A. - Grupo GOL,G3,https://www.voegol.com.br/
White coloured by you,WI,https://www.whitecoloured.com
Wideroe,WF,https://www.wideroe.no
Xiamen Airlines,MF,https://www.xiamenair.com
Yemenia,IY,https://www.yemenia.com
Silk Way Airlines,ZP,https://www.silkwayairlines.com
Silk Way West Airlines Limited,7L,https://www.silkwaywest.com/
